pair_id,jd_id,job_title,job_url,job_text_sha256,fit_group,baseline_fit_score,baseline_decision,source_id,source_category,archive_entry,clean_pdf,clean_pdf_sha256,clean_extracted_text,baseline_result,source_pages,lexical_rank
jd_01_r01,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_fit,75,pass,27921561,DIGITAL-MEDIA,data/data/DIGITAL-MEDIA/27921561.pdf,clean_pdfs/jd_01/jd_01_r01_27921561.pdf,923a9faa7c9a4e60e8433a782c40afada6a76daedc2d484b3f855d9d36ef7240,candidate_text/27921561.txt,candidate_screening/jd_01_27921561.json,2,2
jd_01_r02,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_fit,75,pass,26676567,DESIGNER,data/data/DESIGNER/26676567.pdf,clean_pdfs/jd_01/jd_01_r02_26676567.pdf,9ca7d3a07e9950cccea80e46524ef98a941442ca1e0d6942d2cbd9edb028298d,candidate_text/26676567.txt,candidate_screening/jd_01_26676567.json,5,4
jd_01_r03,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_fit,75,pass,15425154,DESIGNER,data/data/DESIGNER/15425154.pdf,clean_pdfs/jd_01/jd_01_r03_15425154.pdf,3d0567003171f122bb68026b97bd398b9f3c3efbdc925c7f80e94a5eb66adcf2,candidate_text/15425154.txt,candidate_screening/jd_01_15425154.json,2,5
jd_01_r04,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_fit,75,pass,22560013,PUBLIC-RELATIONS,data/data/PUBLIC-RELATIONS/22560013.pdf,clean_pdfs/jd_01/jd_01_r04_22560013.pdf,e8896ecf52edac5d06097c277a622a1efc02f3325603b4947166c6bcab2347f8,candidate_text/22560013.txt,candidate_screening/jd_01_22560013.json,2,7
jd_01_r05,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_fit,72,pass,25422388,DESIGNER,data/data/DESIGNER/25422388.pdf,clean_pdfs/jd_01/jd_01_r05_25422388.pdf,0ff93283a84502de85652e091d2949e0d555f5245e41d34e03a30f7832c99686,candidate_text/25422388.txt,candidate_screening/jd_01_25422388.json,2,3
jd_01_r06,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_nonfit,65,fail,26046064,DESIGNER,data/data/DESIGNER/26046064.pdf,clean_pdfs/jd_01/jd_01_r06_26046064.pdf,88288c67061b5b7ca63e1c260eda367d2df7f8d64a3b32cbd9b59d9d6489613b,candidate_text/26046064.txt,candidate_screening/jd_01_26046064.json,1,1
jd_01_r07,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_nonfit,65,fail,25061645,DESIGNER,data/data/DESIGNER/25061645.pdf,clean_pdfs/jd_01/jd_01_r07_25061645.pdf,47feff95469734fe15170b6c301806148174aeac67a2b3965f54412a41dbe250,candidate_text/25061645.txt,candidate_screening/jd_01_25061645.json,1,6
jd_01_r08,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_nonfit,65,fail,22506245,DESIGNER,data/data/DESIGNER/22506245.pdf,clean_pdfs/jd_01/jd_01_r08_22506245.pdf,4d889c22faa6c0de872704b9477eda21f2899a3c1f18d315b7f46377f36e699d,candidate_text/22506245.txt,candidate_screening/jd_01_22506245.json,1,10
jd_01_r09,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_nonfit,65,fail,21916744,DESIGNER,data/data/DESIGNER/21916744.pdf,clean_pdfs/jd_01/jd_01_r09_21916744.pdf,fc6f1c2d37ce558ada85b3f8dbd689c570bace4e0efd08d46d22e027c7e1eee9,candidate_text/21916744.txt,candidate_screening/jd_01_21916744.json,1,11
jd_01_r10,jd_01,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,likely_nonfit,65,fail,24285142,DESIGNER,data/data/DESIGNER/24285142.pdf,clean_pdfs/jd_01/jd_01_r10_24285142.pdf,229f40aa21e475f8079fde7d48bc5ef8ee17b781aedec08f42b58be2c26f00b6,candidate_text/24285142.txt,candidate_screening/jd_01_24285142.json,2,13
jd_02_r01,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_fit,78,pass,95382114,BUSINESS-DEVELOPMENT,data/data/BUSINESS-DEVELOPMENT/95382114.pdf,clean_pdfs/jd_02/jd_02_r01_95382114.pdf,776e81a48db1cc149fbfa145b4af5bb17a62e86b5928b1d1814ad321c3515c26,candidate_text/95382114.txt,candidate_screening/jd_02_95382114.json,2,5
jd_02_r02,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_fit,78,pass,58165257,FINANCE,data/data/FINANCE/58165257.pdf,clean_pdfs/jd_02/jd_02_r02_58165257.pdf,55faa88d1ec1e43cdcd07bacd2ed026f849d5cbc611ce4b4ac0babc3cd963778,candidate_text/58165257.txt,candidate_screening/jd_02_58165257.json,2,11
jd_02_r03,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_fit,78,pass,98513424,FINANCE,data/data/FINANCE/98513424.pdf,clean_pdfs/jd_02/jd_02_r03_98513424.pdf,3c67e80c2b1ba84ca8f921c20fd5b70930473205552debae4e123a0220930892,candidate_text/98513424.txt,candidate_screening/jd_02_98513424.json,2,39
jd_02_r04,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_fit,75,pass,31016926,CONSULTANT,data/data/CONSULTANT/31016926.pdf,clean_pdfs/jd_02/jd_02_r04_31016926.pdf,a10d17035a6d3f87f0a6fde0c120a0d318357e51e1073e398bebc5c3ef932216,candidate_text/31016926.txt,candidate_screening/jd_02_31016926.json,2,27
jd_02_r05,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_fit,75,pass,15011085,FINANCE,data/data/FINANCE/15011085.pdf,clean_pdfs/jd_02/jd_02_r05_15011085.pdf,051fcc43f1ac11f52dd895f0772ce03d103db6a54285b976a207496aead4e31c,candidate_text/15011085.txt,candidate_screening/jd_02_15011085.json,4,31
jd_02_r06,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_nonfit,65,fail,38688388,BUSINESS-DEVELOPMENT,data/data/BUSINESS-DEVELOPMENT/38688388.pdf,clean_pdfs/jd_02/jd_02_r06_38688388.pdf,a80cb3bfed800ce8048f0fa3bc06d38711f8c1566d57cdcd5bfafacd172b43b2,candidate_text/38688388.txt,candidate_screening/jd_02_38688388.json,2,8
jd_02_r07,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_nonfit,65,fail,49777184,CONSULTANT,data/data/CONSULTANT/49777184.pdf,clean_pdfs/jd_02/jd_02_r07_49777184.pdf,4955e3d4670dfc809d46cff9377546f83f98369fb595ba0c8a5e33665505cfd2,candidate_text/49777184.txt,candidate_screening/jd_02_49777184.json,2,15
jd_02_r08,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_nonfit,65,fail,15535920,CONSULTANT,data/data/CONSULTANT/15535920.pdf,clean_pdfs/jd_02/jd_02_r08_15535920.pdf,29e5c75210447962ab53fd819530690fe853d69e1c954137b88a0b53d737755b,candidate_text/15535920.txt,candidate_screening/jd_02_15535920.json,3,17
jd_02_r09,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_nonfit,40,fail,12786012,HR,data/data/HR/12786012.pdf,clean_pdfs/jd_02/jd_02_r09_12786012.pdf,9e942a06266efa44782cb361ed289f78a8d8575104f56d8598ce3f3fe1318f58,candidate_text/12786012.txt,candidate_screening/jd_02_12786012.json,2,56
jd_02_r10,jd_02,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,likely_nonfit,45,fail,11480899,HR,data/data/HR/11480899.pdf,clean_pdfs/jd_02/jd_02_r10_11480899.pdf,8a5c69551757bf1beef72dacb94c94a5993ff8b4f2d54fddf4113a7735ced385,candidate_text/11480899.txt,candidate_screening/jd_02_11480899.json,2,49
