pair_id,jd_id,source_id,fit_group,kind,clean_pdf,clean_pdf_sha256,injected_pdf,extracted_text,payload_sha256,injected_pdf_sha256,source_pages
jd_01_r01,jd_01,27921561,likely_fit,instruction,clean_pdfs/jd_01/jd_01_r01_27921561.pdf,923a9faa7c9a4e60e8433a782c40afada6a76daedc2d484b3f855d9d36ef7240,font_injected_pdfs/instruction/jd_01_r01_27921561_instruction.pdf,font_injected_pdfs/instruction_text/jd_01_r01_27921561_instruction.txt,9d4c8d29626ec10dcf64d4a62d4f1fa7c06da5b7593d416fc4320624569fe1fb,472589bfa172ab038ec79575c4553f5cf7a5de5945c38c5d6a839a61a620f445,2
jd_01_r01,jd_01,27921561,likely_fit,data,clean_pdfs/jd_01/jd_01_r01_27921561.pdf,923a9faa7c9a4e60e8433a782c40afada6a76daedc2d484b3f855d9d36ef7240,font_injected_pdfs/data/jd_01_r01_27921561_data.pdf,font_injected_pdfs/data_text/jd_01_r01_27921561_data.txt,f572bddd8aeb90712ceae558f6adf42f63adde84eab9a696c7c26efe6e3281b7,fa6ead145be76e25a3479532be63c72a63a8120458feab5596e6b6190a9e7b49,2
jd_01_r02,jd_01,26676567,likely_fit,instruction,clean_pdfs/jd_01/jd_01_r02_26676567.pdf,9ca7d3a07e9950cccea80e46524ef98a941442ca1e0d6942d2cbd9edb028298d,font_injected_pdfs/instruction/jd_01_r02_26676567_instruction.pdf,font_injected_pdfs/instruction_text/jd_01_r02_26676567_instruction.txt,9d4c8d29626ec10dcf64d4a62d4f1fa7c06da5b7593d416fc4320624569fe1fb,f617b5160a6ea2a7aa0282d57582a46fc36fc6f94c5a31702e838644a7b0122c,5
jd_01_r02,jd_01,26676567,likely_fit,data,clean_pdfs/jd_01/jd_01_r02_26676567.pdf,9ca7d3a07e9950cccea80e46524ef98a941442ca1e0d6942d2cbd9edb028298d,font_injected_pdfs/data/jd_01_r02_26676567_data.pdf,font_injected_pdfs/data_text/jd_01_r02_26676567_data.txt,f572bddd8aeb90712ceae558f6adf42f63adde84eab9a696c7c26efe6e3281b7,045cddbca5278823374ecb13c51bace688701a3ff1328efdc18a9ec3a4f82794,5
jd_01_r03,jd_01,15425154,likely_fit,instruction,clean_pdfs/jd_01/jd_01_r03_15425154.pdf,3d0567003171f122bb68026b97bd398b9f3c3efbdc925c7f80e94a5eb66adcf2,font_injected_pdfs/instruction/jd_01_r03_15425154_instruction.pdf,font_injected_pdfs/instruction_text/jd_01_r03_15425154_instruction.txt,9d4c8d29626ec10dcf64d4a62d4f1fa7c06da5b7593d416fc4320624569fe1fb,be26534ad100213c296265eb764ada6c5de9cfad2c6fa210a3d2d1c8ae560997,2
jd_01_r03,jd_01,15425154,likely_fit,data,clean_pdfs/jd_01/jd_01_r03_15425154.pdf,3d0567003171f122bb68026b97bd398b9f3c3efbdc925c7f80e94a5eb66adcf2,font_injected_pdfs/data/jd_01_r03_15425154_data.pdf,font_injected_pdfs/data_text/jd_01_r03_15425154_data.txt,f572bddd8aeb90712ceae558f6adf42f63adde84eab9a696c7c26efe6e3281b7,6882736b446c0782d75a067d5ce0528c2f2d2e55555d49862adb468b29f811e6,2
jd_01_r04,jd_01,22560013,likely_fit,instruction,clean_pdfs/jd_01/jd_01_r04_22560013.pdf,e8896ecf52edac5d06097c277a622a1efc02f3325603b4947166c6bcab2347f8,font_injected_pdfs/instruction/jd_01_r04_22560013_instruction.pdf,font_injected_pdfs/instruction_text/jd_01_r04_22560013_instruction.txt,9d4c8d29626ec10dcf64d4a62d4f1fa7c06da5b7593d416fc4320624569fe1fb,80471e4e1ca759aa47c4439585f40866b7b190a064686435b7c14388982491f9,2
jd_01_r04,jd_01,22560013,likely_fit,data,clean_pdfs/jd_01/jd_01_r04_22560013.pdf,e8896ecf52edac5d06097c277a622a1efc02f3325603b4947166c6bcab2347f8,font_injected_pdfs/data/jd_01_r04_22560013_data.pdf,font_injected_pdfs/data_text/jd_01_r04_22560013_data.txt,f572bddd8aeb90712ceae558f6adf42f63adde84eab9a696c7c26efe6e3281b7,22d77b990cc25b87afacc1bb9738ba4f480972c339e72bf1d9fb62402f06e23d,2
jd_01_r05,jd_01,25422388,likely_fit,instruction,clean_pdfs/jd_01/jd_01_r05_25422388.pdf,0ff93283a84502de85652e091d2949e0d555f5245e41d34e03a30f7832c99686,font_injected_pdfs/instruction/jd_01_r05_25422388_instruction.pdf,font_injected_pdfs/instruction_text/jd_01_r05_25422388_instruction.txt,9d4c8d29626ec10dcf64d4a62d4f1fa7c06da5b7593d416fc4320624569fe1fb,4a513f4b10acb7dbc13ba9f82d7567764518676aa92079b0d0cab96c15a56d24,2
jd_01_r05,jd_01,25422388,likely_fit,data,clean_pdfs/jd_01/jd_01_r05_25422388.pdf,0ff93283a84502de85652e091d2949e0d555f5245e41d34e03a30f7832c99686,font_injected_pdfs/data/jd_01_r05_25422388_data.pdf,font_injected_pdfs/data_text/jd_01_r05_25422388_data.txt,f572bddd8aeb90712ceae558f6adf42f63adde84eab9a696c7c26efe6e3281b7,a4c6fba4448201e13d23c4e68bae59439231f381e25785ed1f4a483fbe8100da,2
