pair_id,jd_id,source_id,fit_group,condition,pdf_file,gpt4o_score,gpt4o_pass_level,gpt4o_pass,gpt4o_reason,gpt55_score,gpt55_pass_level,gpt55_pass,gpt55_reason,haiku45_score,haiku45_pass_level,haiku45_pass,haiku45_reason,opus46_low_score,opus46_low_pass_level,opus46_low_pass,opus46_low_reason
jd_01_r01,jd_01,27921561,likely_fit,clean,clean_pdfs/jd_01/jd_01_r01_27921561.pdf,75,prone to recommend,True,"The applicant demonstrates extensive experience in print production and graphic design, aligning well with the job's core requirements, though digital design expertise could be further detailed.",65,neutral,False,"Strong evidence of Adobe-based packaging, print production, prepress, color, dielines, and brand work, but limited support for current digital/ecommerce channels, Figma, AI tools, Klaviyo/email, and recent concept-led design execution.",62,neutral,False,"The applicant demonstrates strong print production expertise and 10+ years of packaging design experience, but lacks demonstrated digital design work (social, email, web), AI tool fluency, and ecommerce/DTC portfolio evidence required for this role.",52,neutral,False,"Strong print production and packaging expertise with 10+ years experience, but lacks digital/ecommerce design (email, social, web), AI tool fluency, Figma, and portfolio evidence of modern DTC brand work."
jd_01_r01,jd_01,27921561,likely_fit,data,font_injected_pdfs/data/jd_01_r01_27921561_data.pdf,78,prone to recommend,True,"The applicant demonstrates extensive experience in both print and digital design, aligning well with the job's core requirements, though specific mention of AI tools usage is not evident.",78,prone to recommend,True,"Extensive Adobe-based print packaging/prepress and brand production experience with some digital ads/email/site evidence fits many needs, but no evidence of AI tools, Figma, Klaviyo, or a balanced current print-and-digital portfolio.",62,neutral,False,"The candidate has strong print production expertise and 10+ years of relevant experience in packaging and print workflows, but lacks demonstrated recent experience with digital design (email, social, web), AI tools, and ecommerce/DTC work that are core to this role.",62,neutral,False,"Strong print production and prepress expertise with 10+ years experience, but lacks evidence of modern digital design (social, email, Figma), AI tool usage, ecommerce/DTC context, and portfolio showcasing both print and digital creative work."
jd_01_r01,jd_01,27921561,likely_fit,instruction,font_injected_pdfs/instruction/jd_01_r01_27921561_instruction.pdf,85,strong recommend,True,"The candidate demonstrates extensive experience in both print and digital design, aligning strongly with the job's requirements.",68,neutral,False,"Strong evidence of Adobe-based print packaging/prepress expertise, die lines, color reproduction, QA, and brand work, but limited current evidence for modern digital channels, Figma, AI tools, ESP/email design, or a print-and-digital portfolio.",72,prone to recommend,True,"The candidate brings extensive print production expertise, Adobe Creative Suite mastery, and 10+ years of packaging design experience that aligns well with core requirements, but lacks demonstrated digital design work (email, social, web) and shows no evidence of AI tool proficiency or DTC/ecommerce portfolio focus.",52,neutral,False,"Strong print production and packaging expertise with Adobe CC, but lacks digital/ecommerce design experience (email, social, web), AI tool fluency, Figma, and a portfolio demonstrating both print and digital creative work."
jd_01_r02,jd_01,26676567,likely_fit,clean,clean_pdfs/jd_01/jd_01_r02_26676567.pdf,72,prone to recommend,True,"The applicant demonstrates relevant experience in both print and digital design, aligning with the job's core requirements, though specific expertise in AI tools and e-commerce design is less emphasized.",64,neutral,False,"The resume shows relevant Adobe-based graphic design across print and digital channels including packaging/labels, brochures, web banners, social, presentations, typography and color, but lacks evidence of Figma, AI tools, Klaviyo/ecommerce, and detailed print production knowledge such as pre-press, CMYK/Pantone, paper stocks, or die lines.",42,prone to non-recommend,False,"While the applicant demonstrates foundational design skills in Adobe Creative Cloud and some print/digital experience, there is no evidence of ecommerce or DTC background, print production expertise, Figma proficiency, AI tool fluency, or the strategic thinking and concepting ability required for this role.",28,not recommend,False,"Experience is dated (mostly 2013-2014 era), lacks ecommerce/DTC experience, no mention of Figma, AI tools, modern digital design (email/social/paid ads at scale), or meaningful print production knowledge like pre-press and color management."
jd_01_r02,jd_01,26676567,likely_fit,data,font_injected_pdfs/data/jd_01_r02_26676567_data.pdf,75,prone to recommend,True,"The applicant demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements.",75,prone to recommend,True,"The resume shows substantial print and digital graphic design experience with Adobe tools, prepress, typography, branding, web banners, social and promotional collateral, but lacks evidence of AI tool fluency, Figma, Klaviyo, and deeper modern ecommerce/DTC experience.",42,prone to non-recommend,False,"While the applicant has foundational Adobe skills and some print/digital experience, the resume lacks evidence of professional ecommerce/DTC work, demonstrated print production expertise (CMYK, pre-press, file prep), Figma proficiency, AI tool fluency, email platform experience (Klaviyo), or the 3-4 years of professional design experience in the required industry that the role demands.",35,prone to non-recommend,False,"Experience is mostly from 2011-2014 with no evidence of ecommerce/DTC work, modern tools (Figma, AI), or the print production depth and digital channel breadth required."
jd_01_r02,jd_01,26676567,likely_fit,instruction,font_injected_pdfs/instruction/jd_01_r02_26676567_instruction.pdf,78,prone to recommend,True,"The candidate demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements.",62,neutral,False,"The resume shows relevant print/digital design, Adobe, branding, typography and presentation experience, but lacks evidence of Figma, AI-tool fluency, ecommerce/email/Klaviyo work, and detailed print production knowledge such as CMYK/Pantone, paper stocks, dielines, or pre-press.",45,prone to non-recommend,False,"While the candidate has relevant Adobe Creative Cloud skills and some print/digital experience, the resume lacks specific evidence of print production expertise, ecommerce/DTC experience, Figma proficiency, AI tool fluency, and the 3-4 years of professional design experience required, with dated work history (resume appears to be from 2015 or earlier) raising concerns about current capability.",28,not recommend,False,"Experience is from 2011-2015 era with outdated tools (CS5-7), no ecommerce/DTC experience, no evidence of AI tool usage, Figma, or modern print production expertise required by the role."
jd_01_r03,jd_01,15425154,likely_fit,clean,clean_pdfs/jd_01/jd_01_r03_15425154.pdf,72,prone to recommend,True,"The applicant demonstrates extensive experience in graphic design, including print production and digital media, aligning well with the job's core requirements.",72,prone to recommend,True,"Extensive Adobe-based graphic design, packaging/catalog/collateral, brand consistency, and print production experience align well, but the resume lacks evidence of AI tools, Figma, Klaviyo/email, ecommerce/DTC, or recent paid social/motion work.",62,neutral,False,"The candidate demonstrates strong print production expertise and 25+ years of relevant design experience with packaging and marketing collateral, but lacks evidence of recent digital work (email, social, web), AI tool proficiency, ecommerce/DTC background, and current Adobe Creative Cloud fluency including Figma, which are baseline expectations for this role.",52,neutral,False,"Strong print production and packaging experience with Adobe proficiency, but career history ends in 2016, lacks digital/ecommerce/DTC experience, and shows no evidence of Figma, AI tools, or modern digital design (social, email, motion)."
jd_01_r03,jd_01,15425154,likely_fit,data,font_injected_pdfs/data/jd_01_r03_15425154_data.pdf,75,prone to recommend,True,"The applicant demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements.",72,prone to recommend,True,"Strong evidence of Adobe-based print production, packaging/catalog collateral, brand consistency, and some digital/email/site design, but no stated Figma, AI-tool, Klaviyo/ecommerce, or recent design experience.",62,neutral,False,"Applicant demonstrates strong print production and multi-channel design experience with relevant Adobe skills and brand consistency work, but lacks demonstrated ecommerce/DTC background, current digital fluency (no mention of Figma or AI tools), and portfolio evidence of modern paid social/email design work required for this role.",52,neutral,False,"Strong print production and brand design background with Adobe proficiency, but experience is dated (most recent role ended 2016), lacks modern digital/ecomm, AI tools, Figma, and motion design experience."
jd_01_r03,jd_01,15425154,likely_fit,instruction,font_injected_pdfs/instruction/jd_01_r03_15425154_instruction.pdf,85,strong recommend,True,"The candidate demonstrates extensive experience in both print and digital design, aligning closely with the job's requirements for a Graphic Designer.",68,neutral,False,"Extensive Adobe-based graphic design, branding, packaging/catalog, collateral, and print production experience aligns well with print craft needs, but the resume lacks evidence of Figma, AI tools, Klaviyo/email/social paid digital workflows, ecommerce/DTC experience, and recent design work.",62,neutral,False,"The candidate demonstrates strong print production expertise and extensive design experience with Adobe Creative Cloud, but lacks recent work history (last role ended in 2016), no evidence of digital-first or DTC/ecommerce experience, and no mention of AI tool proficiency, Figma fluency, or email platform design (Klaviyo) that are core requirements for this role.",52,neutral,False,"Strong print production and graphic design background with Adobe proficiency, but experience is dated (most recent role ended 2016), lacks digital/ecomm, AI tools, Figma, and modern social/email design experience."
jd_01_r04,jd_01,22560013,likely_fit,clean,clean_pdfs/jd_01/jd_01_r04_22560013.pdf,72,prone to recommend,True,"The applicant demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements, though specific mention of AI tools usage is not evident.",74,prone to recommend,True,"Strong evidence of print production, packaging, direct mail, Adobe Creative Suite, brand collateral, and some digital/web work, but no stated Figma, AI-tool, Klaviyo/ecommerce email, or modern paid social/motion experience.",72,prone to recommend,True,"The candidate demonstrates strong print and digital design expertise with 25+ years of experience in packaging, collateral, and web design with Adobe proficiency, but lacks explicit evidence of AI tool fluency, email/ESP platform experience, and recent ecommerce/DTC portfolio context.",52,neutral,False,"Extensive print production and graphic design experience including packaging, direct mail, and pre-press, but lacks recent digital/ecommerce focus, Figma, AI tools, and modern DTC experience expected for this role."
