sample_index,source_dataset,source_url,source_pdf,source_id,source_category,pdf_file,pdf_sha256,source_text_sha256,extracted_chars,sampling_seed
1,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HEALTHCARE/23110214.pdf,23110214,HEALTHCARE,pdfs/23110214.pdf,5ed088adb8896a35355f3a06eb086bfc7a90efdc6242768372b7e562d4424dd5,ed93953c2884631e8117a537b9bd73b291f4e63b6b9d7b3797f1e633026052a3,8899,20260915
2,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/BANKING/13393401.pdf,13393401,BANKING,pdfs/13393401.pdf,7dcfc15047e8198fcd283f82bbcddecf13329c031c237d7be4a9521fedf54a49,fb1fc7510a745e0803c6afd84cb16fe03d02bf73867e954ca67fee5546c953d4,5632,20260915
3,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/PUBLIC-RELATIONS/14667659.pdf,14667659,PUBLIC-RELATIONS,pdfs/14667659.pdf,0576eacc983af9581633d6934b3bc29549e8c8bc533fdd84a6bc68c66745fa6d,06c3477c697f4a517fd9a64e30b856162a7a6706467416994716ec26f1598d32,5207,20260915
4,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/SALES/18171955.pdf,18171955,SALES,pdfs/18171955.pdf,e6aa9147f0c9a23d25c227f847fa89e0e4df0532378966aea6c76fe48893847c,47fe240f3ac5e84eb4cadace5764c8b4965b244039bb56325673da2fe384d146,5398,20260915
5,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/AUTOMOBILE/15210069.pdf,15210069,AUTOMOBILE,pdfs/15210069.pdf,a67d62772d094243350821bf2970710446cc2f192c87ac256bf44e69d806dded,6532ee2952a6336aef5147f6403c992b1028b96f1255f479eb879b029b687525,5689,20260915
6,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/SALES/30608780.pdf,30608780,SALES,pdfs/30608780.pdf,b28864da8c831120735ae8b1928975fc816d111ee0fc6b524ded32408faa3264,adcee6c5e33c59a7b362c836e220a08eea37a1d5d362dc30ef3434d25427507f,7294,20260915
7,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/AVIATION/11804712.pdf,11804712,AVIATION,pdfs/11804712.pdf,44a307f269bec0c9ac9f9b029698c8c771e13d76ba78955cad4b076a656ae737,909de42b8e8f6b07b26c4fc3b42da0b499c27130d635f19a20802275f2f23ee9,8769,20260915
8,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FINANCE/15792052.pdf,15792052,FINANCE,pdfs/15792052.pdf,c88099ce297b2524bf6a229f03f76c9e2ba0aed4cc89c25c018493b43c9f4d56,d1ea6d92aab1e9276441dfb7fa671822c2f3f109fd82f722bb13b495b0fd4329,5532,20260915
9,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/AGRICULTURE/62994611.pdf,62994611,AGRICULTURE,pdfs/62994611.pdf,6e11685c1af3a8f7763e3303d461de030b9d8f579427849c8fdc4a69e3238ca9,8afaed65d76b3d180e2f1253e1362e1d580c22f75e80fc1069815691f400f0d3,9276,20260915
10,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ACCOUNTANT/28298773.pdf,28298773,ACCOUNTANT,pdfs/28298773.pdf,7b827391097ecdb92490b0a41eeb98bc84624675bec4e26be305ed61e710ee51,f3cfa4a73180b77570832304c1b84adaab81b5b37e1e9ef0415031f1a161be94,5143,20260915
11,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ACCOUNTANT/24103168.pdf,24103168,ACCOUNTANT,pdfs/24103168.pdf,4bbc2e6d936e2a94971e36aae52bf35560ddaec2346abf066a87bd26558c8ec0,f67bb8d4457e5c01d2a3217383e2ca91ccea506e42e85cc1711c35b1dbeb9044,5974,20260915
12,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FITNESS/21122155.pdf,21122155,FITNESS,pdfs/21122155.pdf,f62f352a2e27dfa3dcd03f679183f297c91b36093633a013d10c02c6095bde16,0c2629e2ca650a7b4356880ffe4e19f44636f131fe660b76e54ec5d62db77781,7815,20260915
13,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HR/27496514.pdf,27496514,HR,pdfs/27496514.pdf,c65fc835c5179afee3bbbe3de72b0fb9a0b7c4eaa2690b3c7f4e5fccb9fe337e,ff14482489475595f4e427b99d871b83dd893b69e46566fd7076969f0181960b,5530,20260915
14,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CHEF/91268638.pdf,91268638,CHEF,pdfs/91268638.pdf,60cbb8fff807653a3a283a9e415aeb7ba7c761c1b3e5ef3c3a4dc6d357b93683,186ee519cdb0465cebf76292519582198e9c0227c32d34c2076424bdf6485270,6700,20260915
15,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DESIGNER/11722421.pdf,11722421,DESIGNER,pdfs/11722421.pdf,9a0f1b55f746c5774c56d8eeb18622b6af8c7bf62fb02c13ba44d86e0e71777a,a2f07a640ff8f4bfaee1e1514c3dfb67d48bf8df0afa09039db4226cf78de20f,5109,20260915
16,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CHEF/27298953.pdf,27298953,CHEF,pdfs/27298953.pdf,1a349472e2e8e97b7376b2ccf50d5abc7b1e46bae5affd00e62bb7e9029d408a,cdd189a1b17840f8731f6aa361de81e42ea152b9ca0d54019ec3b949959675bc,7511,20260915
17,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/APPAREL/26586477.pdf,26586477,APPAREL,pdfs/26586477.pdf,eff6bcc50a63d8d925b359b2e65eed851ca5d84d80996adfb979439fb87da041,6ca97888157d0771b8205e37f2d90cb8fb03b7640adbc10f20d32ba54b556313,5784,20260915
18,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CHEF/10333299.pdf,10333299,CHEF,pdfs/10333299.pdf,c30ece8bb89d0f88c2a85bd658fdc3426bea27cda257e1929d9ce614550ccc19,5a4c81e1f03739bb4b88d4cd07217b935992e0fc9c57d904327adadc123e5718,6343,20260915
19,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HR/30646367.pdf,30646367,HR,pdfs/30646367.pdf,e47754812af902a4fd82f32f3ba8d5df8a340bf15e33dd6878656f2a1fa949a0,9bb6f38dd2b0a93a00aa93de0ee50a5a2e3b7a9c71b91175e3e5bca30c886114,7240,20260915
20,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HEALTHCARE/37001381.pdf,37001381,HEALTHCARE,pdfs/37001381.pdf,3b3e87e3e710a6138bbb39925fcaec25d44741a05618f6111e35836f2ae86b5a,efa3dd12c3b21f672b10c86c256a57d17556733f7a5cf7455942d4cb7d81aad3,7770,20260915
21,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/SALES/24610685.pdf,24610685,SALES,pdfs/24610685.pdf,26220f8ae45c1181ada5ab8a79e19b72882f11ab81dc89cf9c2014d6b90e3dbe,443ff9a4cf2a058065e3c2c22d132051bec0986b0a789d752670b1de500b041f,6829,20260915
22,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ENGINEERING/47549345.pdf,47549345,ENGINEERING,pdfs/47549345.pdf,1a766588afce37d5d556fde7951099437a56b9fa5a22722a84f8425e5c55824f,8555372d06006318f6e41f5f8d059ceb20ff596ce5472e943c52136c75cf36d0,4208,20260915
23,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ADVOCATE/26071861.pdf,26071861,ADVOCATE,pdfs/26071861.pdf,754a264cb289bc216cf008b6a04828ccaf9e052a6815ab93b0bd557e21824a29,533f97ee433e069a58ba162e77b3371b5c5ab648031ede642d9aa5e438e2a3c0,6324,20260915
24,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HR/20925036.pdf,20925036,HR,pdfs/20925036.pdf,94456d510ff31bf0f6b87f87bc249dc126a02c0cec50e3185456464e9a7b8933,bc39d18438bcd359abcc7b6f86fa026f3f9b14d154fe1a7271f708f7b9d7f0d6,8103,20260915
25,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ADVOCATE/13593241.pdf,13593241,ADVOCATE,pdfs/13593241.pdf,8266a1cb8101c84191d883a366d15e711586646b95585feddee1d745e5689c91,2bde8880d73b93f66c1570f4a13f7b853b1ca66455e098eda368c9aa125d0a9e,7383,20260915
26,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DESIGNER/62312955.pdf,62312955,DESIGNER,pdfs/62312955.pdf,6e4b9429eae0b1e781473ddfdfa7c9d24603a10e985209c250a7c41f6c1b266c,5d0aa68013eda813bf007390d187fb694cf15af884677b87351cd95f5cfc401c,2930,20260915
27,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/AGRICULTURE/21868149.pdf,21868149,AGRICULTURE,pdfs/21868149.pdf,8e658b061c1a9223db81ed1d7e80b5f25cba166b570da161246a7caaa043968e,248ba69f5056e0fb1f42ff723faf043320058b7d0f3f8c8f9f1e96866a4548f9,7895,20260915
28,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DIGITAL-MEDIA/29002596.pdf,29002596,DIGITAL-MEDIA,pdfs/29002596.pdf,03983cbaa563048425b46a8bd6d86d32f455c0036188b955fb009e5eea1e7083,79f75cb79f6ed6f269339b1f6c9efb12e94102502388b47b2141b672eca5b367,8881,20260915
29,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DIGITAL-MEDIA/31909493.pdf,31909493,DIGITAL-MEDIA,pdfs/31909493.pdf,0fdea4df3480cbfcefe27abe6358f21b7dfcd4a1662ef7ced45cb737bf5faa05,df3f931fcc9eb3371d1d89e56405ab58fe16bb9a7b7288c013a9aa2656411e6b,8223,20260915
30,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/PUBLIC-RELATIONS/23015611.pdf,23015611,PUBLIC-RELATIONS,pdfs/23015611.pdf,48ecb91cf28ea58f6822745894305cf8605680d3a41ebbf4a52b24d7832267a2,1f1d7886734b392b8d6e11576e7095f6b65b3d62b6d329f0f5bf735a3d41b312,6508,20260915
31,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FITNESS/23004695.pdf,23004695,FITNESS,pdfs/23004695.pdf,e6a75e1154f47c8c87d6bd6e9f1bdca887d62f89b9d1f47a4e7ce9618f887da4,8be6153d6cd23a0e298cc216e9e271cddae8144046f80e1b0f693eba3f62d36e,5176,20260915
32,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ACCOUNTANT/78257294.pdf,78257294,ACCOUNTANT,pdfs/78257294.pdf,a3bd40ba200529a8346eb0bb338b230fd42f658c6f7f34274289a12326333158,1d7ff1dc951ea9848afe9b51d41018d3652711b50ee92e4f2573a2243e99b4c4,9054,20260915
33,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ENGINEERING/47919212.pdf,47919212,ENGINEERING,pdfs/47919212.pdf,0811296885d0887569d58bacb843b2d3cd7c95b2433cef44a75ef455286ee53d,ef341455c138a0e527aa0acaa481ebcb9288c917c0497bc293f5b219b5a4a45b,5815,20260915
34,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DIGITAL-MEDIA/15353911.pdf,15353911,DIGITAL-MEDIA,pdfs/15353911.pdf,17707eba9f5db5a19d00189034e2ec23f17bb001d5773230d074d0bb2616cbbb,7941d6c365e63aa3063b81cea36a261755b43040b2500f9ded57447003d4c88b,1718,20260915
35,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/INFORMATION-TECHNOLOGY/12635195.pdf,12635195,INFORMATION-TECHNOLOGY,pdfs/12635195.pdf,996bc15e309da15d4dfff3d51ebb9995aa7a6f8639a39881d704c1b60bf85292,4aa13ebaf51b64b210c6d602df2c570f485b036c7bacbe578ed9d2b6ca2a775c,3010,20260915
36,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ARTS/21809601.pdf,21809601,ARTS,pdfs/21809601.pdf,3d508f50c5d3d3b9b715010c8a435aef537f92b01c7c7609781c1405e1b6e680,1b471c72cc5ee466ca11130deb2a0d168045e6c4efef18847dff8d496d1cc3f9,4526,20260915
37,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ARTS/15265464.pdf,15265464,ARTS,pdfs/15265464.pdf,5a3b469d64c9655878f26ce17587bdaf167ac5f5fb60a693974ceecb0d6de4b9,9f56e63b7adaefdf84965e55a68bd5201cfc523d8e0d25036e92340ce501aa48,4983,20260915
38,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DIGITAL-MEDIA/28609364.pdf,28609364,DIGITAL-MEDIA,pdfs/28609364.pdf,9350109382be9d1771ee3993700c5b1a68f6fa2f67bd085cc8d74c96ff30f67c,45ab429b5b26c363d3f90307b1b3d4147a14a9e8d7dba629438920d71a2f83d9,5388,20260915
