jd_id,title,gpt4o,gpt55,haiku45,opus46_low,total
jd_01,Graphic Designer,4,3,0,0,7
jd_02,Business Operations,2,2,1,0,5
jd_03,"Manager, Recruiting",4,9,0,0,13
jd_04,Senior Accountant,1,1,2,0,4
jd_05,Recruiting Coordinator (Fixed-Term),5,0,5,0,10
jd_06,Sales Development Representative,2,1,1,3,7
jd_07,Corporate Accounting Manager,3,5,3,0,11
jd_08,Finance and Strategy Specialist,3,7,4,1,15
jd_09,Enterprise Paid Digital Marketing Manager,2,5,0,0,7
jd_10,"Marketing Coordinator, Home Game",3,2,3,2,10
jd_11,Lifecycle Marketing Manager,4,5,4,1,14
jd_12,Employee Relations Business Partner,4,4,4,3,15
jd_13,Graphic Designer,1,1,0,0,2
jd_14,Junior Creative Visual Designer,1,3,2,1,7
jd_15,University Recruiter,3,6,0,1,10
jd_16,Inside Sales Representative,4,2,3,1,10
jd_17,Social Media Coordinator,4,4,0,0,8
jd_18,Enterprise Sales Executive,2,3,2,0,7
jd_19,Customer Service Representitive,4,0,3,5,12
jd_20,"Recruiter II, Business Recruiting",5,4,0,0,9
